job_title,company_name,location,job_link,description,required_skills,posting_date
Backoffice Help Desk – Langues (Portugais),Delta Center,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1574160/backoffice-help-desk-langues-portugais/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis , 16 rue de syrie » Backoffice Help Desk – Langues (Portugais) Un centre d'appel situé en centre-ville Rue de Syrie (Delta Call)- (Delta Center) a la recherche des profils suivants : Téléopérateurs/ téléopératrices qui maîtrisant parfaitement la langue Portugaise Bonnes compétences en informatique Salaire motivant et stabilité d'emploi. Pour plus d'informations, Veuillez soumettre votre CV Tél 93623182 Emploi Tunisie » Offres d'emploi à Tunis , 16 rue de syrie » Backoffice Help Desk – Langues (Portugais)",r,Il'y a 1 semaine
Assistante de Direction,csforyou.fr,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1980474/assistante-de-direction/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à lac 2 » Assistante de Direction Nous cherchons une Assistante de Direction pour rejoindre notre société offshore (France) · Saisie et contrôle des factures clients et fournisseurs · Saisie des factures · Maîtrise de la langue française · Bon niveau de communication en français · Maîtrise des outils bureautiques (Word, Excel, …) · Dynamique · Motivante · Ponctuelle Emploi Tunisie » Offres d'emploi à lac 2 » Assistante de Direction","excel, r",Il'y a 3 semaines
Assistante de direction,Business Management,"Les Berges Du Lac II, Tunis, Tunisie",https://www.tanitjobs.com/job/1981861/assistante-de-direction/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis » Assistante de direction BUSINESS MANAGEMENT partenaire et intégrateur Microsoft, recrute dans les cadre du développement de ses activités: Assistante de direction * Un environnement de travail collaboratif et à la pointe de la technologie. * Une rémunération en fonction de vos performances. * Des opportunités d’évolution vers des postes stratégiques. * Des actions de formation & soft skills. Emploi Tunisie » Offres d'emploi à Tunis » Assistante de direction",r,Il'y a 2 semaines
Développeur logiciel Backend intermédiaire,Delta Center,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1981590/développeur-logiciel-backend-intermédiaire/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Tunis » Développeur logiciel Backend intermédiaire Nous recherchons des développeurs logiciels Backend de niveau intermédiaire disposant d’une solide expérience en C# et dans l’écosystème .NET, capables de concevoir, développer et maintenir des applications côté serveur robustes et évolutives. Le poste est axé sur la logique métier, l’accès aux données, les intégrations ainsi que sur des aspects non fonctionnels tels que la fiabilité, les performances et la maintenabilité. Compétences techniques clés Compétences principales • Maîtrise de C# et du framework .NET • Expérience pratique avec les API Web ASP.NET Core • Bonne connaissance de la programmation asynchrone (async/await, tâches) Données et persistance • Expérience avec des bases de données relationnelles (SQL Server, PostgreSQL) • Utilisation pratique d’Entity Framework Core • Capacité à écrire et comprendre des requêtes SQL Fondamentaux du backend • Développement et consommation d’API REST • Gestion de l’authentification et de l’autorisation au niveau des API • Journalisation (logging), gestion des erreurs et notions de base en matière de performances Outils et environnement • Familiarité avec Git et les workflows collaboratifs • Expérience de base avec Docker et les environnements locaux conteneurisés • Rédaction de tests unitaires pour les composants backend Compétences comportementales (Soft Skills) • Solides capacités d’analyse et de résolution de problèmes, orientées vers la résolution de problématiques complexes • Capacité à travailler en équipe, avec une forte aptitude à la communication et à la collaboration entre les différentes fonctions de l’entreprise • Esprit orienté vers l’innovation et l’amélioration continue, avec une attention particulière aux bonnes pratiques de développement et de sécurité Emploi Tunisie » Offres d'emploi à Tunis » Développeur logiciel Backend intermédiaire","asp.net, c#, docker, git, postgresql, r, sql",Il'y a 2 semaines
TECH LEAD Expérimenté PHP,Tessi Technology Tunis,"La Chargui 1, Tunis, Tunisie",https://www.tanitjobs.com/job/1863562/tech-lead-expérimenté-php/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à charguia 1 zone industriel » TECH LEAD Expérimenté PHP Vous cherchez un nouveau challenge avec des perspectives de carrière, de la convivialité dans vos relations de travail et la liberté d’entreprendre au sein d’équipes impliquées ? Tessi est l’acteur majeur international du Business Process Service ! En nous rejoignant, vous évoluerez dans un groupe aux références internationales incontournables créé il y a 40 ans sur une idée simple, forte et innovante dans la transformation digitale des entreprises. TESSI TECHNOLOGY TUNIS (3T), filiale de notre Groupe TESSI France composé de 10 000 collaborateurs à travers le Monde dont 450 profils informatiques, recherche son nouveau TECH LEAD Expérimenté/ PHP - JAVA. Vous rejoignez une équipe accueillante, dynamique, compétente et qui a à cœur d’apporter des solutions de qualité à nos clients. Nous transformons ensemble l’économie qui est en évolution constante. Par notre agilité, nous rendons la technologie simple et accessible à nos utilisateurs. Vous avez ainsi la possibilité d’évoluer au sein d’un collectif harmonieux composé de talents animés par le partage de connaissances. Nous vous offrons la possibilité de construire votre carrière selon vos ambitions et motivations au sein de 3T et de TESSI France. Vous rejoignez notre Pôle Opérations & Service Clients, en charge de l’intégration des projets clients dans l’environnement de production documentaire TESSI. Missions principales : Pilotage, suivi et coordination du projet : Architecture et Conception : Développement du frontend et du backend des applications : Support applicatif : Cette liste n’est pas exhaustive. Le titulaire du poste peut, à la demande de sa hiérarchie, être amené à effectuer d’autres tâches, en fonction des besoins de la production et des exigences clients. CONTEXTE D’EXERCICE DU POSTE Comportement vis-à-vis de la Qualité Comportement vis-à-vis de l’Hygiène & Sécurité Comportement vis-à-vis de l’environnement LES CONNAISSANCES REQUISES Emploi Tunisie » Offres d'emploi à charguia 1 zone industriel » TECH LEAD Expérimenté PHP","git, java, php, r",Il'y a 1 mois
Recrutement – Développeurs WinDev Mobile,ITECHDATA,"Sfax, Sfax, Tunisie",https://www.tanitjobs.com/job/1980848/recrutement-développeurs-windev-mobile/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Sfax » Recrutement – Développeurs WinDev Mobile Dans le cadre de son développement, ITECH DATA recrute des Développeurs WinDev Mobile pour renforcer ses équipes techniques. Expérience ou bonne connaissance des outils PC SOFT : WinDev, WinDev Mobile et/ou WebDev Esprit d’équipe et sens des responsabilités Motivation et volonté d’évoluer dans un environnement professionnel structuré Emploi Tunisie » Offres d'emploi à Sfax » Recrutement – Développeurs WinDev Mobile",r,Il'y a 3 semaines
Stage PFE Développeur Fullstack IoT & IA – Projet EcoCollect,RIF,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1983521/stage-pfe-développeur-fullstack-iot-ia-projet-ecocollect/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Sidi Daoud, La Marsa » Stage PFE Développeur Fullstack IoT & IA – Projet EcoCollect Domaine : Smart City / Environnement / IoT / Intelligence Artificielle Durée : 4 à 6 mois Lieu : Télétravail Technologies clés : Arduino/ESP32, LoRaWAN, MQTT, Python (FastAPI), Algorithmes d'optimisation. À propos du projet EcoCollect Rejoignez une aventure technologique au service de l'écologie ! EcoCollect est un système intelligent de gestion des déchets visant à réduire l'empreinte carbone urbaine. Grâce à des poubelles connectées et une IA de pointe, nous transformons la collecte traditionnelle en un système dynamique piloté par la donnée. Étudiant(e) en dernière année d'école d'ingénieur ou Master spécialisé en Informatique, Systèmes Embarqués ou Data Science. Compétences techniques indispensables : Maîtrise du langage C/C++ (Arduino IDE/PlatformIO) et de Python. Bonne compréhension des protocoles réseau (MQTT, TCP/IP). Notions en algorithmique et recherche opérationnelle (TSP, Dijkstra, etc.). Compétences appréciées : Expérience avec les réseaux basse consommation (LoRaWAN/Sigfox). Connaissance des outils de conteneurisation (Docker). Sensibilité aux problématiques de développement durable. Emploi Tunisie » Offres d'emploi à Sidi Daoud, La Marsa » Stage PFE Développeur Fullstack IoT & IA – Projet EcoCollect","c++, docker, go, python, r",Il'y a 1 semaine
Ouvriers qualifiés (H/F),GRAPHIKA,"Ariana, Ariana, Tunisie",https://www.tanitjobs.com/job/1984230/ouvriers-qualifiés-h-f/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Ariana » Ouvriers qualifiés (H/F) On recrute des ouvriers dans le domaine d'impression. Profil: Vous êtes autonome et motivé, nous cherchons un ouvrier polyvalent qualifié, temps plein. Emploi Tunisie » Offres d'emploi à Ariana » Ouvriers qualifiés (H/F)",r,Il'y a 6 jours
Chargé(e) Marketing & Développement Commercial,devfactory,"Tunis, Tunis, Tunisie",https://www.tanitjobs.com/job/1980215/chargé-e-marketing-développement-commercial/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à 1002 Lafayette tunis » Chargé(e) Marketing & Développement Commercial Développer la visibilité de DevFactory et générer des opportunités commerciales sur les marchés tunisien, africain et européen, en valorisant notre expertise en développement AI-native. ResponsabilitésMarketing (50%) Développement commercial (50%) Profil recherchéFormation & Expérience Compétences techniques Qualités personnelles Emploi Tunisie » Offres d'emploi à 1002 Lafayette tunis » Chargé(e) Marketing & Développement Commercial",r,Il'y a 3 semaines
Ingénieur Cybersécurité,Netcom Active Services,"Centre Urbain Nord, Ariana, Tunisie",https://www.tanitjobs.com/job/1981491/ingénieur-cybersécurité/?backPage=&searchID=1772104607.7814,"Emploi Tunisie » Offres d'emploi à Sélectionnez Gouvernorat » Ingénieur Cybersécurité Principales activités : De formation ingénieur ou BAC +5, vous justifiez d'une expérience confirmée d’au moins 5 ans sur un poste équivalent. Vous avez le sens du service et souhaitez travailler sur des technologies variées. Compétences requises: Emploi Tunisie » Offres d'emploi à Sélectionnez Gouvernorat » Ingénieur Cybersécurité","go, r",Il'y a 2 semaines
